"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1,C2,C4,C5","0.1uF","~","Capacitor_SMD:C_0603_1608Metric","4",""
"C3,C6","27pF","~","Capacitor_SMD:C_0402_1005Metric","2",""
"C8","333u","~","","1",""
"D1","LED_Transmit","~","","1",""
"D2","LED_Receive","~","","1",""
"D3","LED_Valid","~","","1",""
"D6,D7,D8,D9,D11,D12,D13,D14","1N4001","http://www.vishay.com/docs/88503/1n4001.pdf","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","8",""
"D10","D_Zener","~","","1",""
"J1","Conn_02x04_Counter_Clockwise","~","Connector_PinSocket_2.54mm:PinSocket_2x04_P2.54mm_Vertical","1",""
"M1","Motor_DC","~","","1",""
"Q2","2N3055","http://www.onsemi.com/pub_link/Collateral/2N3055-D.PDF","Package_TO_SOT_THT:TO-3","1",""
"R1","56k","~","Resistor_SMD:R_0402_1005Metric","1",""
"R2,R3,R6","68","~","","3",""
"R4,R5","100","~","","2",""
"Rs2","400","~","","1",""
"U1","STM32C011F4Px","https://www.st.com/resource/en/datasheet/stm32c011f4.pdf","Package_SO:TSSOP-20_4.4x6.5mm_P0.65mm","1",""
"U2","L293D","http://www.ti.com/lit/ds/symlink/l293.pdf","Package_DIP:DIP-16_W7.62mm","1",""
"U3","CC1101RGPR","CC1101RGPR","CC1101:RGP20_2P4X2P4","1",""
"U4","LM3940IT-3.3","","T03B","1",""
"U6","LM741","http://www.ti.com/lit/ds/symlink/lm741.pdf","","1",""
"Y1","NX3225GA-26.000MHZ-EXS00A-CG01972","https://media.digikey.com/pdf/Data%20Sheets/NDK%20PDFs/NX3225GA.pdf","SamacSys_Parts:NX3225GA16000MSTDCRG1","1",""
