pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
140.918651,-107.521351,0.0,top,C1,,,C_0805_2012Metric,0.1uF,smt
127.228651,-84.266351,0.0,top,C10,,,C_0805_2012Metric,12pF,smt
127.228651,-77.766351,0.0,top,C11,,,C_0805_2012Metric,6.8pF,smt
127.228651,-74.406351,90.0,top,C12,,,C_0805_2012Metric,220pF,smt
141.068651,-110.271351,0.0,top,C2,,,C_0805_2012Metric,0.1uF,smt
133.528651,-98.681351,-90.0,top,C3,,,C_0805_2012Metric,27pF,smt
137.238651,-94.471351,0.0,top,C4,,,C_0805_2012Metric,0.1uF,smt
132.978651,-101.651351,0.0,top,C5,,,C_0805_2012Metric,0.1uF,smt
141.948651,-98.741351,-90.0,top,C6,,,C_0805_2012Metric,27pF,smt
125.498651,-94.496351,180.0,top,C7,,,C_0805_2012Metric,6.8pF,smt
133.128651,-94.426351,180.0,top,C8,,,C_0805_2012Metric,220pF,smt
128.588651,-91.206351,-90.0,top,C9,,,C_0805_2012Metric,6.8pF,smt
137.038651,-103.911351,180.0,top,D1,,,LED_0805_2012Metric,LED_Transmit,smt
153.518651,-105.696351,90.0,top,D11,,,D_0805_2012Metric,1N4001,smt
153.468651,-113.396351,90.0,top,D12,,,D_0805_2012Metric,1N4001,smt
157.708651,-113.446351,90.0,top,D13,,,D_0805_2012Metric,1N4001,smt
157.558651,-105.626351,90.0,top,D14,,,D_0805_2012Metric,1N4001,smt
133.768651,-112.623851,90.0,top,D2,,,LED_0805_2012Metric,LED_Receive,smt
136.808651,-112.623851,90.0,top,D3,,,LED_0805_2012Metric,LED_Valid,smt
130.058651,-116.061351,-90.0,top,J1,,,PinSocket_2x04_P2.54mm_Vertical,Conn_02x04_Counter_Clockwise,tht
127.368651,-67.776351,0.0,top,J2,,,SMA_Amphenol_901-143_Horizontal,Conn_Coaxial,tht
154.218651,-109.586351,90.0,top,J3,,,PinSocket_1x02_P2.54mm_Vertical,Conn_01x02_Socket,tht
164.298651,-120.203351,90.0,top,J4,,,PinSocket_1x01_P2.54mm_Vertical,Conn_01x01_Socket,tht
129.238651,-94.366351,180.0,top,L1,,,L_0805_2012Metric,33nH,smt
126.208651,-91.236351,90.0,top,L2,,,L_0805_2012Metric,33nH,smt
127.268651,-87.256351,90.0,top,L3,,,L_0805_2012Metric,18nH,smt
127.228651,-80.876351,90.0,top,L4,,,L_0805_2012Metric,33nH,smt
120.098651,-97.761351,180.0,top,R1,,,C_0805_2012Metric,56k,smt
133.361151,-103.921351,180.0,top,R2,,,R_0805_2012Metric,68,smt
133.968651,-108.293851,90.0,top,R3,,,R_0805_2012Metric,68,smt
136.778651,-108.293851,90.0,top,R6,,,R_0805_2012Metric,68,smt
126.571151,-106.576351,180.0,top,U1,,,TSSOP-20_4.4x6.5mm_P0.65mm,STM32C011F4Px,smt
145.898651,-102.221351,90.0,top,U2,,,DIP-16_W7.62mm,L293D,tht
126.48865,-98.670001,90.0,top,U3,,,RGP20_2P4X2P4,CC1101RGPR,smt
153.408651,-120.829351,180.0,top,U4,,,LM3940IT-3.3,LM3940IT-3.3,tht
137.738651,-98.761351,0.0,top,Y1,NX3225GA-26.000MHZ-EXS00A-CG01972,,NX3225GA16000MSTDCRG1,NX3225GA-26.000MHZ-EXS00A-CG01972,smt
